,Food,Size,Calories,Fat,Carbs,Fiber,Protein,Sodium, 
344,,Grande,35,1,4,0,2,30,
345,,Venti Iced 24oz,60,1.5,7,0,3,45,
346,,Trenta,70,2,9,1,4,60,
347,Nariño 70 Cold Brew w/ Soy,Tall,20,0.5,2,0,1,20,
348,,Grande,30,1,3,0,2,30,
349,,Venti Iced 24oz,50,1.5,6,0,3,50,
350,,Trenta,70,2,8,0,4,65,
351,Toasted Coconut Cold Brew w/ Soy,Tall,50,0.5,9,0,1,20,
352,,Grande,60,0.5,12,0,1,25,
353,,Venti Iced 24oz,100,1,19,0,2,40,
354,,Trenta,110,1,21,0,2,45,
355,Chocolate Beverages,,,,,,,,
356,Caffè Mocha w/ Almond,Short,110,3.5,17,3,3,70,
357,,Tall,170,6,26,4,4,110,
358,,Grande,220,7,34,5,5,140,
359,,Venti,280,10,43,7,7,180,
360,Caffè Mocha w/ Almond,Short,160,9,19,3,3,75,
361,,Tall,230,12,27,4,4,120,
362,,Grande,300,15,36,5,6,150,
363,,Venti,350,17,45,7,7,190,
364,Chocolate Smoothie w/ Almond,Grande,280,4.5,49,9,16,160,
365,Hot Chocolate w/ Almond,Short,130,4,21,3,2,75,
366,,Tall,190,6,30,4,4,115,
367,,Grande,240,8,38,5,5,150,
368,,Venti,320,10,51,7,6,190,
369,Hot Chocolate w/ Almond,Short,190,9,24,3,3,80,
370,,Tall,250,12,33,4,4,125,
371,,Grande,320,15,41,6,5,160,
372,,Venti,390,17,54,7,7,200,
373,White Chocolate Mocha w/ Almond,Short,140,5,22,1,3,115,
374,,Tall,210,8,33,1,4,180,
375,,Grande,280,10,44,1,6,230,
376,,Venti,360,13,56,2,7,300,
377,White Chocolate Mocha w/ Almond,Short,190,10,24,1,3,120,
378,,Tall,280,14,35,1,5,190,
379,,Grande,350,17,46,1,6,240,
380,,Venti,430,19,58,2,8,300,
381,Starbucks Espresso Beverages,,,,,,,,
382,Blonde Double Shot w/ 2% Milk,Tall,60,1,9,0,3,35,
383,,Grande,80,1,15,0,3,40,
384,,Venti Iced 24oz,150,2,28,0,4,55,
385,Blonde Double Shot w/ Nonfat Milk,Tall,50,0,10,0,3,35,
386,,Grande,70,0,15,0,3,35,
387,,Venti Iced 24oz,130,0,28,0,4,50,
388,Blonde Double Shot w/ Whole Milk,Tall,70,2,9,0,2,35,
389,,Grande,90,2,15,0,3,35,
390,,Venti Iced 24oz,160,3,28,0,4,50,
391,Caffè Americano,Solo,15,0,3,0,1,15,
392,,Short,5,0,1,0,0,5,
393,,Tall,10,0,2,0,1,10,
394,,Grande,15,0,3,0,1,15,
395,,Venti,25,0,4,0,1,15,
396,Caffè Latte w/ 2% Milk,Short,100,3.5,10,0,6,85,
397,,Tall,150,6,15,0,10,135,
398,,Grande,190,7,19,0,13,170,
399,,Venti,250,9,24,0,16,220,
400,Caffè Latte w/ Nonfat Milk,Short,70,0,10,0,7,80,
401,,Tall,100,0,15,0,10,120,
402,,Grande,130,0,20,0,13,150,
403,,Venti,170,0,25,0,17,200,
404,Caffè Latte w/ Whole Milk,Short,120,6,10,0,6,80,
405,,Tall,180,9,15,0,9,125,
